No-Intro Name,Hardware,Copyright Date,Domestic Title,Overseas Title,Type,Product No.,Version,Checksum,Region,SHA256
"Arch Rivals - The Arcade Game (USA, Europe)",SEGA GENESIS,(C)T-81 1992.MAR,ARCH RIVALS,ARCH RIVALS,(unknown),GM_T-081056,0,9011 (0x2333),UE,bdebf908ba358312e71a2d5518d2e4675d7a1e6f3c91b56db561269e075afb2c
Arcus Odyssey (Japan),SEGA MEGA DRIVE,(C)T-32 1991.JUN,ARCUS ODYSSEY,ARCUS ODYSSEY,GM,T-32053,0,43260 (0xA8FC),J,159847500525240f4922fc3f8fc50fd0fc102f490c72ddf5bebbef258251024d
Arcus Odyssey (USA),SEGA MEGA DRIVE,(C)T-32 1991.JUN,ARCUS ODYSSEY,ARCUS ODYSSEY,GM,T-32053,0,41973 (0xA3F5),U,3a2086b730f9ab9d673a555e72085c5c32956fca27dea46a8f9640e3a885ae30
"Ariel - The Little Mermaid (USA, Europe)",SEGA GENESIS,(C)SEGA 1992.OCT,ARIEL DISNEY'S THE LITTLE MERMAID,ARIEL DISNEY'S THE LITTLE MERMAID,GM,MK-1041,0,53215 (0xCFDF),U,f566f6a9200765d4ba2cf6e2560c74e1a6d3bdc7f4f9f811c51d00f5a2d2c411
"Ariel - The Little Mermaid (USA, Europe) (1992-10-10) (Sega Channel)",SEGA GENESIS,(C)SEGA 1992.OCT,ARIEL DISNEY'S THE LITTLE MERMAID,ARIEL DISNEY'S THE LITTLE MERMAID,GM,MK-1041,0,53215 (0xCFDF),U,1d19ad85b09735dcc6da2f1e3263e563a8b586ec30b922ea2920c1ac3bbd5b7d
"Arnold Palmer Tournament Golf (USA, Europe)",SEGA MEGA DRIVE,(C)SEGA 1989.JUN,SUPER MASTERS,TOURNAMENT GOLF,MK,00001203-00,(unknown),25377 (0x6321),U E,bd9770385accfe5c3f4e670c2557d123694dde86cdeda17ade360b8ac3dfdc0e
"Arrow Flash (Japan, Europe) (En)",SEGA MEGA DRIVE,(C)SEGA 1990.JUL,ARROW FLASH,ARROW FLASH,GM,00004039-00,(unknown),57211 (0xDF7B),JUE,e6dd2b845325a8b1b08a76110285c7cd1e080d0188ea5a1479c14a856f7383d0
Arrow Flash (USA),SEGA MEGA DRIVE,(C)SEGA 1990.JUL,ARROW FLASH,ARROW FLASH,GM,00004039-00,(unknown),41036 (0xA04C),JUE,0f418edf762a5323387d180aabd1460529a352fa53fb800de7ed89ccaa73f77d
Art Alive (World),SEGA MEGA DRIVE,(C)SEGA 1991.AUG,Art Alive!,Art Alive!,GM,MK-1703,0,64561 (0xFC31),U,6c26ba9273b3f2bab4dfcfbeafb0668d043912344791dfcee23e6bd522880814
Art of Fighting (Europe),SEGA MEGA DRIVE,(C)SEGA 1994 JAN,龍虎の拳,ART OF FIGHTING,GM,MK-01146-00,(unknown),4655 (0x122F),E,ed103e57e9c3d13e5248f5dbc2225e9f22076ca2def8e9dd33aae55360ae4b73
Art of Fighting (USA),SEGA GENESIS,(C)SEGA 1994 JUL,龍虎の拳,ART OF FIGHTING,GM,MK-1146,0,29557 (0x7375),U,5d2b45c3c79a86be07710b94915afaa2e4f7c8ade56dda6cf8b7818a58f7a848
Asa Delta (Brazil) (Mega Drive 4),SEGA MEGA DRIVE,(C)DEVWORKS 2005,JogosDevworks,JogosDevworks,GM,00000000-00,(unknown),42491 (0xA5FB),UEJ,eff30d595af83d6634df851cf8827c28f2720b2db87ee909d908b561773dca29
"Asterix and the Great Rescue (Europe) (En,Fr,De,Es,It)",SEGA MEGADRIVE,(C)SEGA 1993.AUG,ASTERIX AND THE GREAT RESCUE,ASTERIX AND THE GREAT RESCUE,MK,1532,50,23333 (0x5B25),E,c7bf42d03b445fc87561e7966e349588603bd1fafa47844e6857431e889fead6
Asterix and the Great Rescue (USA),SEGA GENESIS,(C)SEGA 1993.OCT,ASTERIX AND THE GREAT RESCUE,ASTERIX AND THE GREAT RESCUE,GM,MK-1532,0,18940 (0x49FC),U,d65159bb03f3545736ad37ead4aaa65410d304ff3ac9265e03fd455aee7e2b6c
"Asterix and the Power of the Gods (Europe) (En,Fr,De,Es)",SEGA MEGA DRIVE,(C)SEGA 1995.JAN,ASTERIX AND THE POWER OF THE GODS,ASTERIX AND THE POWER OF THE GODS,GM,MK-1095,0,25097 (0x6209),8,517327e5709b0fe0516ceb5a6308adcf3d556f826407389fc016a238d87cdeed
Atomic Robo-Kid (Japan),SEGA MEGA DRIVE,(C)T-24 1990.APR,ＡＴＯＭＩＣ　ＲＯＢＯ−ＫＩＤ,ATOMIC ROBO-KID,GM,T-24016,0,31390 (0x7A9E),U,b5077a92e6fa6ccbe0833c839a7b4976a6f4094169f647dbb3b94c8f5ac7d81f
